Equipe1,Score1,Score2,Equipe2
Sénégal,,,Pays-Bas
Angleterre,,,Iran
Qatar,,,Equateur
USA,,,EUR
Argentine,,,Arabie Saoudite
Danemark,,,Tunisie
Mexique,,,Pologne
France,,,ICP1
Maroc,,,Croatie
Allemagne,,,Japon
Espagne,,,ICP2
Belgique,,,Canada
Suisse,,,Cameroun
Uruguay,,,Corée
Portugal,,,Ghana
Brésil,,,Serbie
EUR,,,Iran
Qatar,,,Sénégal
Pays-Bas,,,Equateur
Angleterre,,,USA
Tunisie,,,ICP1
Pologne,,,Arabie Saoudite
France,,,Danemark
Argentine,,,Mexique
Japon,,,ICP2
Belgique,,,Maroc
Croatie,,,Canada
Espagne,,,Allemagne
Cameroun,,,Serbie
Corée,,,Ghana
Brésil,,,Suisse
Portugal,,,Uruguay
Equateur,,,Sénégal
Pays-Bas,,,Qatar
EUR,,,Angleterre
Iran,,,USA
ICP1,,,Danemark
Tunisie,,,France
Pologne,,,Argentine
Arabie Saoudite,,,Mexique
Croatie,,,Belgique
Canada,,,Maroc
Japon,,,Espagne
ICP2,,,Allemagne
Ghana,,,Uruguay
Corée,,,Portugal
Serbie,,,Suisse
Cameroun,,,Brésil
1A,,,2B
1C,,,2D
1D,,,2C
1B,,,2A
1E,,,2F
1G,,,2H
1F,,,2E
1H,,,2G
1E/2F,,,1G/2H
1A/2B,,,1C/2D
1F/2E,,,1H/2G
1D/2C,,,1B/2A
1A/2B/1C/2D,,,1E/2F/1G/2H
1D/2C/1B/2A,,,1F/2E/1H/2G
?,,,?
?,,,?
